1,Starla,32
2,Magdalena,38
3,Chrystel,33
4,Alyssa,26
5,Nerta,31
6,Roz,19
7,Dode,18
8,Jordan,22
9,Myrtice,36
10,Betta,40
11,Fina,20
12,Julieta,37
13,Marcy,33
14,Frances,20
15,Meriel,25
16,Josephine,33
17,Annora,35
18,Rhoda,18
19,Cindelyn,28
20,Tierney,38
21,Celestyna,32
22,Gisela,39
23,Estell,23
24,Vanessa,20
25,Nonnah,20
26,Jerry,36
27,Mady,29
28,Tilly,36
29,Eve,36
30,Odessa,28
31,Krystle,18
32,Dorice,36
33,Teddie,35
34,Goldie,32
35,Jolyn,26
36,Blinni,31
37,Cassondra,37
38,Nerta,31
39,Estell,39
40,Pollyanna,37
41,Susan,23
42,Hope,24
43,Clementine,40
44,Alejandra,32
45,June,35
46,Darci,22
47,Micheline,38
48,Chastity,26
49,Chere,31
50,Meghann,24
51,Desirae,23
52,Frank,18
53,Ardenia,21
54,Ardenia,26
55,Malina,26
56,Nerta,19
57,Georgina,40
58,Chere,40
59,Imojean,40
60,Aurelie,28
61,Gilda,26
62,Janis,37
63,Vita,21
64,Roseline,23
65,Stacey,20
66,Jemie,23
67,Cristine,23
68,Mariele,24
69,Veda,38
70,Lusa,21
71,Carilyn,35
72,Ronna,24
73,Quintina,31
74,Gianina,33
75,Nelle,18
76,Ellette,20
77,Orsola,32
78,Basia,40
79,Tami,34
80,Juliane,23
81,Annabela,36
82,Minda,22
83,Agathe,30
84,Phedra,38
85,Olwen,29
86,Vere,20
87,Corry,31
88,Doro,20
89,Nollie,28
90,Ekaterina,27
91,Mathilda,18
92,Myriam,39
93,Annecorinne,28
94,Oralee,34
95,Winifred,37
96,Bee,23
97,Karena,40
98,Florie,29
99,Chrystel,36
100,Wynne,23
101,Dorice,37
102,Elora,27
103,Farrah,36
104,Cecile,35
105,Elena,38
106,Di,34
107,Vita,27
108,Modestia,23
109,Sybille,28
110,Annice,35
111,Kelly,21
112,Benita,34
113,Maurene,20
114,Candi,24
115,Viki,19
116,Alyssa,22
117,Kaia,40
118,Cordi,38
119,Bernie,35
120,Carree,38
121,Valera,38
122,Sindee,34
123,Judy,38
124,Ivett,20
125,Brena,37
126,Clo,25
127,Codie,40
128,Vevay,24
129,Judy,28
130,Mathilda,31
131,Roxane,30
132,Therine,22
133,Minda,34
134,Priscilla,28
135,Clary,28
136,Celestyna,39
137,Caryl,24
138,Jenda,37
139,Veda,39
140,Pamella,24
141,Augustine,29
142,Hyacinthe,24
143,Barbi,25
144,Fayre,39
145,Tiffie,39
146,Ayn,25
147,Letizia,21
148,Elise,27
149,Clo,25
150,Teriann,25
151,Britte,39
152,Sharai,36
153,Diena,20
154,Merci,18
155,Max,24
156,Joceline,38
157,Dorothy,19
158,Sharai,28
159,Sean,24
160,Roseline,34
161,Sidoney,19
162,Almeta,24
163,Kaia,37
164,Kristina,20
165,Beverley,18
166,Louella,21
167,Annaliese,32
168,Ruthe,23
169,Cordi,27
170,Celisse,25
171,Tomasina,33
172,Joy,38
173,Rosabelle,23
174,Christal,21
175,Selma,27
176,Raina,40
177,Frieda,23
178,Gusty,24
179,Claudina,26
180,Josephine,25
181,Louella,20
182,Charissa,20
183,Ardys,36
184,Nelle,30
185,Sharlene,19
186,Tami,25
187,Laurene,30
188,Marguerite,32
189,Therine,18
190,Kayla,40
191,Alameda,31
192,Brena,39
193,Lolita,19
194,Kimberley,27
195,Amelia,36
196,Lizzie,21
197,Caryl,25
198,Danika,32
199,Marjie,19
200,Rosabelle,25
201,Lorenza,24
202,Marcelline,24
203,Dominga,27
204,Corly,24
205,Gale,30
206,Rosaline,37
207,Ileana,35
208,Ofilia,39
209,Loree,30
210,Gretal,33
211,Talya,38
212,Krystle,23
213,Nerta,35
214,Correy,36
215,Jaime,28
216,Romona,18
217,Jeanna,38
218,Dorene,28
219,Agathe,38
220,Claudina,33
221,Lelah,20
222,Celisse,20
223,Corene,36
224,Rivalee,18
225,Stephanie,26
226,Tarra,33
227,Aigneis,33
228,Damaris,18
229,Sheree,29
230,Florencia,34
231,Fred,38
232,Alexine,26
233,Nickie,28
234,Petronia,31
235,Dyann,21
236,Anestassia,38
237,Joy,33
238,Marcelline,33
239,Beth,36
240,Nickie,31
241,Adele,23
242,Dari,21
243,Zsa Zsa,38
244,Elyssa,25
245,Sallie,20
246,Ursulina,25
247,Clarice,33
248,Keelia,18
249,Ruthe,18
250,Cassondra,25
251,Kittie,27
252,Cathie,18
253,Dolli,28
254,Kalina,21
255,Agathe,38
256,Laurene,23
257,Catharine,29
258,Therine,40
259,Joy,37
260,Beverley,38
261,Mureil,34
262,Emma,31
263,Korrie,33
264,Gusty,20
265,Fayre,31
266,Ronna,36
267,Miquela,18
268,Clary,18
269,Flory,18
270,Shaine,36
271,Angela,21
272,Judy,23
273,Merle,30
274,Dari,20
275,Johna,36
276,Lanae,18
